id,Date,Phase,t=-30,t=-20,t=-10,t=0,t=10,t=20,t=30,t=40,t=50,t=60,t=70,t=80,t=90,t=100,t=110,t=120,t=130,t=140,t=150,t=160,t=170,t=180,t=190
0,3/28/13,G1,58.06,65.03,69.94,72.53,95.09,142.83,188.69,230.71,274.62,315.86,348.04,380.08,385.93,391.69,409.80,422.51,437.80,457.13,485.35,507.00,520.67,521.36,529.47
1,3/28/13,G1,70.03,77.97,83.39,91.05,113.65,160.88,216.19,271.65,306.26,348.55,365.97,93.12,64.48,65.77,343.04,348.53,367.90,368.76,363.38,363.84,360.73,376.01,398.80
2,3/28/13,G1,NaN,NaN,60.56,69.53,104.83,171.10,229.09,288.04,330.10,385.70,424.71,449.50,480.69,517.62,518.63,506.06,499.17,512.89,522.04,539.22,556.56,572.10,575.14
3,3/28/13,G1,28.78,30.31,47.71,61.21,84.97,121.22,145.75,175.56,204.94,245.02,267.04,285.93,304.25,317.10,332.50,340.18,362.10,386.95,400.75,423.02,431.17,433.78,453.52
4,3/28/13,G1,26.34,26.07,29.19,43.02,68.85,115.12,157.84,197.70,221.01,253.48,281.88,306.51,325.88,350.33,370.38,394.94,407.18,420.80,414.55,429.34,431.34,459.33,479.32
5,3/28/13,G1,64.23,69.06,73.68,86.28,108.59,146.65,184.03,220.14,241.08,260.20,271.32,278.90,279.71,290.95,308.11,316.01,311.74,314.19,313.86,317.87,316.08,316.44,320.49
6,3/28/13,G1,58.61,52.69,55.58,62.33,94.93,137.01,192.91,236.15,264.64,308.36,317.05,395.71,419.46,436.78,456.18,480.64,491.69,506.11,522.71,513.68,561.43,568.50,554.56
7,3/28/13,G1,79.40,89.22,109.23,118.04,167.43,231.57,318.18,367.37,432.68,485.30,495.76,521.51,539.77,521.24,528.49,547.17,555.25,574.93,575.87,573.73,606.43,594.50,576.95
8,3/28/13,G1,41.68,49.38,44.25,52.05,72.72,109.32,158.13,190.78,218.74,245.08,269.50,281.06,296.70,325.71,349.16,330.70,344.73,352.57,357.82,364.94,379.32,376.14,377.63
9,3/28/13,G1,37.75,45.85,44.92,48.05,64.31,109.77,153.27,192.50,218.87,250.24,268.42,290.35,307.59,338.34,354.50,353.45,371.21,365.89,361.14,356.54,366.66,353.44,344.14
10,3/28/13,G1,50.81,50.81,50.81,71.36,110.28,168.01,222.23,272.09,302.20,330.52,361.77,384.54,396.48,434.46,464.25,490.42,511.05,511.09,535.95,563.58,576.77,585.16,605.51
11,3/28/13,G1,101.71,101.71,101.71,101.71,154.34,221.40,287.81,373.07,392.06,465.99,497.41,544.44,567.41,586.15,614.82,638.01,671.84,674.82,680.29,694.53,700.84,691.32,694.82
12,3/28/13,G1,85.95,85.95,85.95,85.95,147.58,224.22,288.68,344.19,398.76,459.66,501.38,552.85,583.48,602.25,633.36,655.32,697.99,699.83,720.82,748.74,750.46,747.07,731.80
13,3/28/13,G1,88.74,88.74,88.74,88.74,140.23,214.40,292.34,357.76,405.28,460.24,501.56,540.94,569.75,570.85,601.94,627.87,650.58,620.13,604.39,621.04,595.76,563.82,536.86
14,3/28/13,G1,83.97,83.97,83.97,83.97,131.75,199.39,271.76,331.10,360.35,413.12,440.80,471.20,494.11,505.44,528.62,541.00,562.73,559.00,567.23,580.50,590.77,602.58,614.65
15,3/28/13,G1,85.87,85.87,85.87,85.87,140.47,216.28,292.69,360.19,400.23,450.47,462.51,513.53,534.50,544.48,541.27,551.80,573.65,575.70,577.78,589.09,572.94,553.30,545.52
16,3/28/13,G1,72.97,72.97,72.97,72.97,120.99,174.92,224.08,272.10,307.72,355.71,389.57,433.01,470.24,493.55,520.20,549.57,573.08,576.42,584.23,603.23,599.01,608.25,598.67
17,3/28/13,G1,67.22,67.22,67.22,67.22,106.23,158.87,224.37,280.17,324.18,384.37,408.95,439.27,443.02,448.70,469.47,457.78,470.53,464.11,453.14,461.69,462.34,455.70,457.83
18,3/28/13,G1,68.44,68.44,68.44,68.44,118.16,188.86,266.32,308.49,345.26,393.76,419.04,455.83,483.24,508.00,526.12,549.63,554.55,559.71,563.07,581.96,572.71,574.00,588.31
19,3/28/13,S,63.38,63.08,69.06,78.11,84.40,93.10,95.47,109.69,124.94,151.47,179.22,216.16,252.80,304.61,343.92,382.41,406.93,440.57,447.76,476.31,495.53,504.49,519.99
20,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227.89,258.01,289.22,317.64,345.55,365.22,398.78,417.97,438.32,455.53,481.73,500.60
21,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378.41,398.16,419.28,420.62,431.22,433.13,442.66,440.94,449.84,470.18
22,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243.87,279.54,305.84,332.98,347.10,373.38,399.03,425.38,444.34,459.79,494.58,507.00
23,3/28/13,S,29.88,33.04,37.94,35.69,39.53,47.08,64.31,85.62,110.34,154.65,189.08,231.18,277.61,319.33,370.85,410.30,428.42,445.69,447.11,473.79,460.79,459.95,455.90
24,3/28/13,S,79.54,83.89,77.61,76.49,89.55,103.99,121.40,139.22,166.49,211.41,246.93,306.76,344.60,363.72,383.02,404.38,418.53,428.35,400.83,416.59,435.35,440.77,446.93
25,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352.30,394.99,426.99,452.40,466.71,494.51,522.36,539.11,540.37,527.75
26,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,368.07,384.87,446.15,440.14,465.97,490.91,548.09,588.71,542.30
27,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.08,365.20,398.42,421.31,446.32,461.08,508.23,515.21,527.28,539.23,544.23,533.72,558.98
28,3/28/13,S,58.71,57.68,50.56,55.43,83.22,128.36,184.88,222.10,263.26,300.94,312.64,388.13,407.94,424.74,430.31,458.77,466.39,492.34,511.50,496.24,522.25,528.05,525.01
29,3/28/13,S,47.29,54.99,51.69,49.40,57.91,73.88,83.48,100.85,134.17,170.61,179.16,234.50,271.75,296.41,330.10,369.35,369.46,368.24,401.07,412.65,451.30,491.60,503.67
30,3/28/13,S,56.68,58.29,54.19,61.88,68.69,79.20,88.69,114.85,155.43,195.19,221.49,276.09,314.91,360.12,398.47,432.64,469.62,511.64,533.04,548.90,573.74,587.42,600.36
31,3/28/13,S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315.77,334.98,361.34,390.93,422.43,444.34,469.52,485.07,547.97,583.26,571.30
32,3/28/13,S,71.99,77.44,75.47,71.25,78.27,84.99,120.20,151.88,210.86,276.95,296.99,390.14,416.90,444.54,452.56,464.12,472.45,476.90,469.77,467.18,506.30,511.61,500.50
33,3/28/13,S,60.37,56.49,58.24,62.94,68.40,81.87,97.13,108.37,127.12,152.34,169.65,217.08,266.97,309.33,343.77,378.21,410.74,434.13,460.90,453.93,500.24,545.47,126.74
