Date,Stage,cell_id,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
9/10/13,S6,1,NaN,NaN,34.39,32.08,39.60,41.55,48.67,57.81,73.03,87.63,98.49,110.83,130.43,141.89,157.30,166.40,178.27,173.81,182.57,179.97,200.82,213.84,227.12,228.38,240.34,226.63,247.80,252.90,235.88,222.06,230.88,201.59,205.81,200.04,199.66,186.56,194.76,173.39,173.50,170.03,159.00,152.89,149.37,146.97,133.94,126.94,121.11,115.35,112.10,105.43,99.80,100.31,89.81,85.33,74.81,70.49,72.26,73.94,59.75,62.07,59.13,51.71,46.49,48.00,46.70
9/10/13,S5,2,NaN,NaN,43.52,40.17,38.42,38.23,44.10,53.97,61.23,72.32,73.66,79.21,85.77,89.12,86.47,92.42,87.88,90.01,83.97,91.38,89.20,85.17,83.83,92.26,93.63,86.66,83.83,78.61,78.50,77.66,74.58,70.88,65.88,59.68,60.88,56.03,57.74,59.44,55.11,49.33,47.62,48.56,47.55,45.30,48.01,47.02,48.77,47.73,46.36,44.79,42.71,42.05,44.48,44.16,40.45,64.48,67.76,65.67,70.87,63.32,67.31,74.49,75.59,NaN,NaN
9/10/13,S5,3,NaN,NaN,50.71,47.92,47.60,46.20,52.99,65.73,71.44,82.47,89.06,96.39,102.98,105.53,104.72,100.88,102.37,101.01,97.97,97.46,97.11,99.37,101.56,98.31,103.65,103.46,98.65,96.36,92.49,86.87,85.40,81.82,78.00,71.00,69.35,67.90,68.35,65.89,61.70,61.59,56.79,57.79,53.69,52.08,53.31,51.42,47.76,53.33,49.09,50.25,49.97,47.02,48.28,45.74,42.23,46.88,46.13,47.30,47.12,43.04,46.08,48.10,47.27,NaN,NaN
9/10/13,S5,4,NaN,NaN,57.09,63.60,63.90,55.65,60.99,79.57,102.56,121.39,139.61,168.71,177.35,202.47,202.80,227.79,231.86,235.36,232.18,236.00,243.93,238.86,225.11,239.75,239.04,217.72,207.82,205.10,192.82,213.00,182.34,178.03,167.50,172.23,158.33,155.04,161.81,157.67,141.52,126.31,123.75,121.93,107.59,106.25,104.18,99.22,95.03,91.08,80.34,74.14,73.73,68.92,62.94,61.64,60.37,54.55,48.63,46.86,49.19,49.77,52.90,57.07,53.05,NaN,NaN
9/10/13,S1,5,NaN,NaN,78.76,75.95,77.14,81.57,88.85,93.51,104.35,115.13,123.59,129.86,134.22,137.27,153.20,158.09,172.67,178.86,194.10,189.04,205.25,214.90,203.25,234.60,238.92,246.88,256.71,262.85,270.52,243.18,204.11,271.44,247.61,229.21,232.64,224.19,200.48,208.17,210.86,191.28,176.10,183.38,166.85,161.40,166.81,166.51,167.25,152.09,145.65,136.86,137.88,137.81,130.43,125.89,115.53,133.49,121.40,123.60,117.34,111.19,112.96,90.27,94.29,90.34,82.04
9/10/13,S1,6,NaN,NaN,83.52,82.10,86.78,91.08,92.41,105.85,128.38,142.52,159.60,171.78,198.05,216.72,221.84,233.26,272.91,292.18,300.71,314.83,332.54,324.19,339.91,366.14,335.30,367.69,364.70,347.96,346.68,350.16,342.60,333.18,326.49,315.20,306.92,308.40,292.95,298.32,270.16,251.91,250.67,244.78,228.88,225.67,220.26,214.68,206.73,197.61,191.96,176.02,172.58,164.76,159.69,143.45,142.53,137.54,147.37,140.26,122.61,114.18,111.73,105.43,97.75,86.04,84.53
9/10/13,S4,7,NaN,NaN,84.59,91.81,79.09,85.76,94.84,128.38,148.69,176.72,195.03,209.79,226.67,231.16,252.90,268.45,295.00,340.89,362.25,388.56,419.14,448.22,501.64,543.77,570.82,586.32,602.83,604.23,589.66,596.74,572.43,572.61,579.07,567.97,588.78,572.82,551.27,488.22,464.84,489.29,485.31,482.92,459.37,432.38,440.21,478.11,441.44,437.61,416.34,427.38,458.91,414.48,396.26,409.08,375.77,352.27,336.44,330.95,322.78,299.91,295.80,294.84,309.82,327.04,314.64
9/10/13,S2,8,NaN,NaN,86.22,93.64,88.64,93.67,86.62,95.24,103.57,106.83,126.18,137.03,149.63,158.60,174.83,187.15,195.35,197.72,201.14,218.11,233.57,144.62,221.19,246.91,218.95,237.33,218.47,197.63,207.97,192.37,186.68,186.47,186.82,173.72,161.64,152.06,142.80,142.73,141.11,131.30,129.13,126.20,110.45,66.61,114.63,109.01,95.09,99.53,100.23,93.43,41.27,33.20,35.03,45.44,93.64,91.61,87.96,90.38,84.39,88.93,86.63,91.25,88.86,84.29,85.07
9/10/13,S1,9,NaN,NaN,92.94,98.59,96.02,102.98,108.67,119.22,134.86,157.35,181.04,197.99,213.03,228.44,252.10,260.80,285.87,295.95,311.25,286.75,368.95,342.48,409.13,380.94,395.24,382.67,390.09,411.08,401.92,356.52,361.15,327.37,342.80,323.69,329.51,347.84,306.64,295.48,315.00,280.89,280.72,292.24,283.29,252.41,259.05,234.68,228.06,230.29,219.24,222.16,206.72,201.99,199.20,162.20,158.30,160.06,152.09,145.85,142.52,139.69,140.06,129.97,125.65,120.31,121.84
9/10/13,S6,10,NaN,NaN,94.79,93.12,99.43,101.35,114.17,129.62,133.45,155.85,174.56,191.66,212.64,221.32,247.18,265.17,291.04,305.58,303.39,337.88,340.60,364.23,377.56,371.59,359.59,382.57,396.87,382.46,371.66,366.28,355.53,347.68,344.92,323.16,310.94,318.78,309.41,288.94,286.97,272.90,263.38,251.82,247.25,241.24,234.06,225.94,211.67,202.18,189.18,178.87,166.48,172.38,159.80,151.28,148.64,151.20,156.24,138.66,126.82,127.13,118.22,110.78,99.06,98.10,91.14
