200pulse_time,200pulse,120pulse_time,120pulse,50constant_time,50constant,10constant_time,10constant,90periodic10_time,90periodic10,120periodic10_time,120periodic10,150periodic10_time,150periodic10,180periodic10_time,180periodic10,240periodic10_time,240periodic10,320periodic10_time,320periodic10,90pulse_time,90pulse,160pulse_time,160pulse,75pulse_time,75pulse,60pulse_time,60pulse,45pulse_time,45pulse,90periodic50_time,90periodic50,120periodic50_time,120periodic50,150periodic50_time,150periodic50,180periodic50_time,180periodic50,240periodic50_time,240periodic50,320periodic50_time,320periodic50,BY68_time,BY68,BY169_time,BY169,BY147_time,BY147,BY103_time,BY103,BY130_time,BY130,BY130comp_time,BY130comp,BY103pulse_time,BY103pulse,BY130pulse_time,BY130pulse,BY147pulse_time,BY147pulse,BY169pulse_time,BY169pulse,BY68pulse_time,BY68pulse
0,17.78,0,23.62,0,60.55,0,52.37,0,0.239,0,0.254,0,0.204,0,0.177,0,0.149,0,0.148,0,0.11,0,0.1,0,0.1,0,0.1,0,0.11,0,70.03,0,103.08,0,89.02,0,96.46,0,82.91,0,90.68,0,40.97,0,23.49,0,315.94,0,21.87,0,83.78,0,0.28,0,0.342,0,0.314,0,0.827,0,0.201,0,0.150
5,19.42,5,24.43,10,68.05,10,64.09,10,0.237,10,0.253,10,0.211,10,0.185,10,0.149,10,0.15,5,0.11,5,0.1,5,0.11,5,0.09,5,0.11,10,73.36,10,107.76,10,89.36,10,114.92,10,82.21,10,90.68,10,47.92,10,30.55,10,323.57,10,25.32,10,93.28,10,0.29,5,0.358,5,0.323,5,0.836,5,0.200,5,0.156
10,21.48,10,26.81,20,91.63,20,68.76,20,0.257,20,0.261,20,0.226,20,0.227,20,0.155,20,0.151,10,0.12,10,0.1,10,0.11,10,0.09,10,0.11,20,88.6,20,113.3,20,100.44,20,129.29,20,88.41,20,108.25,20,52.55,20,34.32,20,324.97,20,32.29,20,107.55,20,0.32,10,0.378,10,0.340,10,0.855,10,0.216,10,0.169
15,25.37,15,30.69,30,124.12,30,81.22,30,0.328,30,0.309,30,0.266,30,0.261,30,0.161,30,0.164,15,0.13,15,0.11,15,0.12,15,0.09,15,0.12,30,120.44,30,143.47,30,115.05,30,153.76,30,106.78,30,131.34,30,61.27,30,44.78,30,330.7,30,41.55,30,126.84,30,0.39,15,0.407,15,0.382,15,0.865,15,0.241,15,0.193
20,28.37,20,34.47,40,162.77,40,96.51,40,0.412,40,0.403,40,0.316,40,0.361,40,0.18,40,0.201,20,0.14,20,0.13,20,0.14,20,0.1,20,0.13,40,168.6,40,184.61,40,140.98,40,205.9,40,142.57,40,159.84,40,72.44,40,57.27,40,337.4,40,52.95,40,145.46,40,0.47,20,0.412,20,0.425,20,0.882,20,0.270,20,0.225
25,32.23,25,39.27,50,199.98,50,131.94,50,0.502,50,0.505,50,0.378,50,0.362,50,0.23,50,0.258,25,0.16,25,0.15,25,0.16,25,0.11,25,0.15,50,211.59,50,228.51,50,177.9,50,257.62,50,189.61,50,190.19,50,86.58,50,81.93,50,341.69,50,66.06,50,159.07,50,0.55,25,0.463,25,0.478,25,0.872,25,0.311,25,0.256
30,35.79,30,44.48,60,235.95,60,157.46,60,0.639,60,0.618,60,0.44,60,0.47,60,0.287,60,0.307,30,0.18,30,0.17,30,0.18,30,0.16,30,0.16,60,252.45,60,259.23,60,208.84,60,303.59,60,228.85,60,231.56,60,99.14,60,104.19,60,343.64,60,82.24,60,175.61,60,0.6,30,0.488,30,0.527,30,0.880,30,0.350,30,0.297
35,40.71,35,49.78,70,275.76,70,181.69,70,0.715,70,0.693,70,0.514,70,0.563,70,0.368,70,0.355,35,0.21,35,0.2,35,0.2,35,0.2,35,0.2,70,296.55,70,304.02,70,251.44,70,345.96,70,266.98,70,272.31,70,119.35,70,134.32,70,358.77,70,97.43,70,194.92,70,0.7,35,0.529,35,0.573,35,0.899,35,0.399,35,0.342
40,46.62,40,55.73,80,306.61,80,208.44,80,0.762,80,0.758,80,0.602,80,0.654,80,0.428,80,0.404,40,0.23,40,0.23,40,0.23,40,0.23,40,0.22,80,308.19,80,342.89,80,294.53,80,384.33,80,295.51,80,311.72,80,138.93,80,148.23,80,353.62,80,111.39,80,213.06,80,0.74,40,0.565,40,0.624,40,0.873,40,0.457,40,0.386
45,51.24,45,62.5,90,342.68,90,230.47,90,0.779,90,0.856,90,0.668,90,0.76,90,0.509,90,0.48,45,0.26,45,0.26,45,0.26,45,0.26,45,0.26,90,330.09,90,376.36,90,329.77,90,404.72,90,332.99,90,338.19,90,158.45,90,176.16,90,345.33,90,123.89,90,236.22,90,0.79,45,0.586,45,0.667,45,0.891,45,0.496,45,0.436
50,56.73,50,66.31,100,371.39,100,254,100,0.751,100,0.9,100,0.736,100,0.831,100,0.579,100,0.549,50,0.29,50,0.29,50,0.28,50,0.3,50,0.29,100,306.78,100,378.12,100,361.29,100,436.42,100,352.62,100,357.12,100,182.67,100,204.9,100,343.6,100,126.81,100,241.67,100,0.84,50,0.624,50,0.706,50,0.924,50,0.539,50,0.483
55,61.33,55,71.4,110,395.47,110,281.02,110,0.724,110,0.934,110,0.775,110,0.899,110,0.661,110,0.602,55,0.31,55,0.31,55,0.31,55,0.33,55,0.32,110,320.22,110,388.49,110,378.85,110,464.93,110,391.15,110,379.09,110,202.49,110,221.48,110,356.63,110,141.58,110,262.39,110,0.89,55,0.663,55,0.749,55,0.928,55,0.593,55,0.529
60,66.5,60,74.42,120,415.54,120,302.55,120,0.747,120,0.91,120,0.816,120,0.881,120,0.736,120,0.668,60,0.35,60,0.35,60,0.34,60,0.36,60,0.37,120,353.56,120,384.17,120,387.25,120,480.23,120,419.57,120,391.38,120,225.59,120,228.84,120,345.08,120,146.19,120,273.48,120,0.95,60,0.706,60,0.782,60,0.945,60,0.643,60,0.582
65,71.29,65,78.82,130,440.71,130,308.57,130,0.789,130,0.888,130,0.834,130,0.944,130,0.809,130,0.736,65,0.37,65,0.38,65,0.36,65,0.41,65,0.41,130,405.11,130,378.55,130,383.6,130,475.41,130,448.66,130,417.18,130,245.41,130,242.33,130,329.31,130,153.53,130,288.13,130,0.95,65,0.738,65,0.821,65,0.940,65,0.696,65,0.634
70,76.8,70,83.68,140,460.51,140,353.65,140,0.849,140,0.851,140,0.84,140,0.959,140,0.874,140,0.785,70,0.41,70,0.4,70,0.4,70,0.43,70,0.45,140,439.89,140,356.48,140,391.43,140,471.81,140,460.87,140,435.06,140,262.1,140,257.27,140,342.26,140,154.77,140,298.2,140,0.99,70,0.783,70,0.856,70,0.944,70,0.729,70,0.688
75,78.78,75,90.31,150,468.86,150,389.13,150,0.94,150,0.823,150,0.82,150,0.918,150,0.928,150,0.831,75,0.43,75,0.42,75,0.42,75,0.47,75,0.46,150,466.54,150,353.31,150,396.06,150,462.06,150,466.86,150,441.67,150,281.93,150,272.73,150,336.92,150,157.21,150,313.92,150,1.05,75,0.812,75,0.874,75,0.956,75,0.780,75,0.739
80,83.41,80,94.18,160,476.87,160,404.84,160,0.947,160,0.804,160,0.786,160,0.86,160,0.974,160,0.875,80,0.46,80,0.47,80,0.45,80,0.5,80,0.49,160,482.28,160,361.93,160,392.03,160,443.14,160,482.28,160,459.13,160,305.43,160,289.6,160,337.9,160,156.24,160,330.05,160,1.05,80,0.860,80,0.913,80,0.991,80,0.828,80,0.791
85,88.01,85,98.38,170,489.47,170,427.85,170,0.972,170,0.807,170,0.772,170,0.81,170,1,170,0.917,85,0.5,85,0.5,85,0.48,85,0.53,85,0.51,170,476.31,170,367.84,170,379.2,170,422.49,170,480.13,170,459.93,170,327.45,170,301.96,170,332.45,170,152.28,170,348.99,170,1.06,85,0.882,85,0.930,85,1.016,85,0.872,85,0.840
