,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
0,0,0,3/28/13,69.94,58.06,65.03,G1,72.53
1,1,0,3/28/13,83.39,70.03,77.97,G1,91.05
2,2,0,3/28/13,60.56,,,G1,69.53
3,3,0,3/28/13,47.71,28.78,30.31,G1,61.21
4,4,0,3/28/13,29.19,26.34,26.07,G1,43.02
5,5,0,3/28/13,73.68,64.23,69.06,G1,86.28
6,6,0,3/28/13,55.58,58.61,52.69,G1,62.33
7,7,0,3/28/13,109.23,79.4,89.22,G1,118.04
8,8,0,3/28/13,44.25,41.68,49.38,G1,52.05
9,9,0,3/28/13,44.92,37.75,45.85,G1,48.05
10,10,0,3/28/13,50.81,50.81,50.81,G1,71.36
11,11,0,3/28/13,101.71,101.71,101.71,G1,101.71
12,12,0,3/28/13,85.95,85.95,85.95,G1,85.95
13,13,0,3/28/13,88.74,88.74,88.74,G1,88.74
14,14,0,3/28/13,83.97,83.97,83.97,G1,83.97
15,15,0,3/28/13,85.87,85.87,85.87,G1,85.87
16,16,0,3/28/13,72.97,72.97,72.97,G1,72.97
17,17,0,3/28/13,67.22,67.22,67.22,G1,67.22
18,18,0,3/28/13,68.44,68.44,68.44,G1,68.44
19,19,0,3/28/13,69.06,63.38,63.08,S,78.11
20,20,0,3/28/13,,,,S,
21,21,0,3/28/13,,,,S,
22,22,0,3/28/13,,,,S,
23,23,0,3/28/13,37.94,29.88,33.04,S,35.69
24,24,0,3/28/13,77.61,79.54,83.89,S,76.49
25,25,0,3/28/13,,,,S,
26,26,0,3/28/13,,,,S,
27,27,0,3/28/13,,,,S,
28,28,0,3/28/13,50.56,58.71,57.68,S,55.43
29,29,0,3/28/13,51.69,47.29,54.99,S,49.4
30,30,0,3/28/13,54.19,56.68,58.29,S,61.88
31,31,0,3/28/13,,,,S,
32,32,0,3/28/13,75.47,71.99,77.44,S,71.25
33,33,0,3/28/13,58.24,60.37,56.49,S,62.94
34,34,0,3/28/13,26.78,18.24,22.56,S,32.32
35,35,0,3/28/13,,,,S,
36,36,0,3/28/13,75.97,82.54,80.84,S,87.58
37,37,0,3/28/13,,,,S,
38,38,0,3/28/13,,,,S,
39,39,0,3/28/13,,,,S,
40,40,0,3/28/13,40.57,40.9,42.48,S,41.95
41,41,0,3/28/13,73.85,68.03,68.05,S,82.86
42,42,0,3/28/13,,,,S,
43,43,0,3/28/13,67.55,51.15,57.27,S,75.71
44,44,0,3/28/13,85.01,78.26,81.4,S,88.45
45,45,0,3/28/13,,,,S,
46,46,0,3/28/13,74.98,75.16,81.42,S,77.64
47,47,0,3/28/13,65.89,56.34,61.99,S,82.14
48,48,0,3/28/13,67.25,75.36,73.55,S,69.33
49,49,0,3/28/13,,,,S,
50,50,0,3/28/13,,,,S,
51,51,0,3/28/13,77.49,74.82,75.4,S,73.13
52,52,0,3/28/13,,,,G2/M,
53,53,0,3/28/13,54.64,40.43,44.64,G2/M,65.33
54,54,0,3/28/13,46.82,40.35,45.28,G2/M,54.11
55,55,0,3/28/13,,,,G2/M,
56,56,0,3/28/13,,,,G2/M,
57,57,0,3/28/13,45.92,48.01,52.27,G2/M,46.26
58,58,0,3/28/13,93.07,113.37,108.36,G2/M,93.94
59,59,0,3/28/13,,,,G2/M,
60,60,0,3/28/13,39.42,40.67,40.74,G2/M,43.33
61,61,0,3/28/13,,,,G2/M,
62,62,0,3/28/13,60.46,62.85,57.84,G2/M,70.65
63,63,0,3/28/13,53.91,46.45,49.19,G2/M,61.46
64,64,0,3/28/13,,,,G2/M,
65,65,0,3/28/13,68.17,71.6,69.77,G2/M,78.85
66,66,0,3/28/13,,,,G2/M,
67,67,0,3/28/13,57.86,69.21,62.09,G2/M,71.29
68,68,0,4/19/12,56.99,,44.99,G1,58.84
69,69,0,4/19/12,80.28,58.07,65.63,G1,87.09
70,70,0,4/19/12,65.6,56.7,58.06,G1,74.65
71,71,0,4/19/12,61.6,,57.83,G1,71.11
72,72,0,4/19/12,51.88,,,G1,61.44
73,73,0,4/19/12,59.41,43.24,48.14,G1,67.42
74,74,0,4/19/12,80.27,64.17,75.06,G1,83.94
75,75,0,4/19/12,64.28,53.14,54.95,G1,71.56
76,76,0,4/19/12,60.75,39.1,47.82,G1,66.79
77,77,0,4/19/12,,,,G1,
78,78,0,4/19/12,55.9,33.89,44.39,G1,59.76
79,79,0,4/19/12,57.3,32.12,45.31,G1,67.39
80,80,0,4/19/12,44.66,36.21,37.83,G1,39.0
81,81,0,4/19/12,55.35,,45.34,G1,58.86
82,82,0,4/19/12,65.7,41.78,48.44,G1,71.24
83,83,0,4/19/12,59.93,41.09,50.59,G1,60.61
84,84,0,4/19/12,48.01,,41.13,G1,50.49
85,85,0,4/19/12,59.69,57.12,57.94,G1,56.53
86,86,0,4/19/12,64.61,56.86,60.15,G1,72.76
87,87,0,4/19/12,81.25,54.35,70.87,G1,90.46
88,88,0,4/19/12,65.02,50.96,60.82,G1,71.76
89,89,0,4/19/12,56.95,49.21,54.74,G1,60.83
90,90,0,4/19/12,44.99,33.02,41.92,G1,49.89
91,91,0,4/19/12,49.08,36.07,44.28,G1,50.89
92,92,0,4/19/12,59.01,41.89,52.17,G1,69.35
93,93,0,4/19/12,59.48,34.85,49.21,G1,66.22
94,94,0,4/19/12,93.87,66.12,83.01,G1,94.26
95,95,0,4/19/12,74.64,42.5,64.72,G1,83.25
96,96,0,4/19/12,85.93,64.85,80.42,G1,90.16
97,97,0,4/19/12,,,,S,
98,98,0,4/19/12,61.45,53.94,58.84,S,62.7
99,99,0,4/19/12,77.93,52.99,62.83,S,78.19
100,100,0,4/19/12,,,,S,
101,101,0,4/19/12,,,,S,
102,102,0,4/19/12,58.16,61.0,57.36,S,55.08
103,103,0,4/19/12,72.83,51.27,58.46,S,72.25
104,104,0,4/19/12,,,,S,
105,105,0,4/19/12,73.17,56.72,62.99,S,81.82
106,106,0,4/19/12,91.29,67.5,77.83,S,91.93
107,107,0,4/19/12,,,,S,
108,108,0,4/19/12,37.96,38.51,38.44,S,36.45
109,109,0,4/19/12,,,,S,
110,110,0,4/19/12,,,,S,
111,111,0,4/19/12,,,,S,
112,112,0,4/19/12,55.54,38.46,43.73,S,59.13
