,id,timepoint,Date,Phase,t=
0,0,-30,3/28/13,G1,58.06
1,1,-30,3/28/13,G1,70.03
2,2,-30,3/28/13,G1,
3,3,-30,3/28/13,G1,28.78
4,4,-30,3/28/13,G1,26.34
5,5,-30,3/28/13,G1,64.23
6,6,-30,3/28/13,G1,58.61
7,7,-30,3/28/13,G1,79.4
8,8,-30,3/28/13,G1,41.68
9,9,-30,3/28/13,G1,37.75
10,10,-30,3/28/13,G1,50.81
11,11,-30,3/28/13,G1,101.71
12,12,-30,3/28/13,G1,85.95
13,13,-30,3/28/13,G1,88.74
14,14,-30,3/28/13,G1,83.97
15,15,-30,3/28/13,G1,85.87
16,16,-30,3/28/13,G1,72.97
17,17,-30,3/28/13,G1,67.22
18,18,-30,3/28/13,G1,68.44
19,19,-30,3/28/13,S,63.38
20,20,-30,3/28/13,S,
21,21,-30,3/28/13,S,
22,22,-30,3/28/13,S,
23,23,-30,3/28/13,S,29.88
24,24,-30,3/28/13,S,79.54
25,25,-30,3/28/13,S,
26,26,-30,3/28/13,S,
27,27,-30,3/28/13,S,
28,28,-30,3/28/13,S,58.71
29,29,-30,3/28/13,S,47.29
30,30,-30,3/28/13,S,56.68
31,31,-30,3/28/13,S,
32,32,-30,3/28/13,S,71.99
33,33,-30,3/28/13,S,60.37
34,34,-30,3/28/13,S,18.24
35,35,-30,3/28/13,S,
36,36,-30,3/28/13,S,82.54
37,37,-30,3/28/13,S,
38,38,-30,3/28/13,S,
39,39,-30,3/28/13,S,
40,40,-30,3/28/13,S,40.9
41,41,-30,3/28/13,S,68.03
42,42,-30,3/28/13,S,
43,43,-30,3/28/13,S,51.15
44,44,-30,3/28/13,S,78.26
45,45,-30,3/28/13,S,
46,46,-30,3/28/13,S,75.16
47,47,-30,3/28/13,S,56.34
48,48,-30,3/28/13,S,75.36
49,49,-30,3/28/13,S,
50,50,-30,3/28/13,S,
51,51,-30,3/28/13,S,74.82
52,52,-30,3/28/13,G2/M,
53,53,-30,3/28/13,G2/M,40.43
54,54,-30,3/28/13,G2/M,40.35
55,55,-30,3/28/13,G2/M,
56,56,-30,3/28/13,G2/M,
57,57,-30,3/28/13,G2/M,48.01
58,58,-30,3/28/13,G2/M,113.37
59,59,-30,3/28/13,G2/M,
60,60,-30,3/28/13,G2/M,40.67
61,61,-30,3/28/13,G2/M,
62,62,-30,3/28/13,G2/M,62.85
63,63,-30,3/28/13,G2/M,46.45
64,64,-30,3/28/13,G2/M,
65,65,-30,3/28/13,G2/M,71.6
66,66,-30,3/28/13,G2/M,
67,67,-30,3/28/13,G2/M,69.21
68,68,-30,4/19/12,G1,
69,69,-30,4/19/12,G1,58.07
70,70,-30,4/19/12,G1,56.7
71,71,-30,4/19/12,G1,
72,72,-30,4/19/12,G1,
73,73,-30,4/19/12,G1,43.24
74,74,-30,4/19/12,G1,64.17
75,75,-30,4/19/12,G1,53.14
76,76,-30,4/19/12,G1,39.1
77,77,-30,4/19/12,G1,
78,78,-30,4/19/12,G1,33.89
79,79,-30,4/19/12,G1,32.12
80,80,-30,4/19/12,G1,36.21
81,81,-30,4/19/12,G1,
82,82,-30,4/19/12,G1,41.78
83,83,-30,4/19/12,G1,41.09
84,84,-30,4/19/12,G1,
85,85,-30,4/19/12,G1,57.12
86,86,-30,4/19/12,G1,56.86
87,87,-30,4/19/12,G1,54.35
88,88,-30,4/19/12,G1,50.96
89,89,-30,4/19/12,G1,49.21
90,90,-30,4/19/12,G1,33.02
91,91,-30,4/19/12,G1,36.07
92,92,-30,4/19/12,G1,41.89
93,93,-30,4/19/12,G1,34.85
94,94,-30,4/19/12,G1,66.12
95,95,-30,4/19/12,G1,42.5
96,96,-30,4/19/12,G1,64.85
97,97,-30,4/19/12,S,
98,98,-30,4/19/12,S,53.94
99,99,-30,4/19/12,S,52.99
100,100,-30,4/19/12,S,
101,101,-30,4/19/12,S,
102,102,-30,4/19/12,S,61.0
103,103,-30,4/19/12,S,51.27
104,104,-30,4/19/12,S,
105,105,-30,4/19/12,S,56.72
106,106,-30,4/19/12,S,67.5
107,107,-30,4/19/12,S,
108,108,-30,4/19/12,S,38.51
109,109,-30,4/19/12,S,
110,110,-30,4/19/12,S,
111,111,-30,4/19/12,S,
112,112,-30,4/19/12,S,38.46
113,113,-30,4/19/12,S,65.56
114,114,-30,4/19/12,S,
115,115,-30,4/19/12,S,
116,116,-30,4/19/12,S,41.74
117,117,-30,4/19/12,S,
118,118,-30,4/19/12,S,18.95
119,119,-30,4/19/12,S,
120,120,-30,4/19/12,S,34.92
121,121,-30,4/19/12,S,
122,122,-30,4/19/12,S,32.12
123,123,-30,4/19/12,S,45.13
124,124,-30,4/19/12,S,
125,125,-30,4/19/12,S,
126,126,-30,4/19/12,S,
127,127,-30,4/19/12,S,45.06
128,128,-30,4/19/12,S,
129,129,-30,4/19/12,S,40.16
130,130,-30,4/19/12,S,38.83
131,131,-30,4/19/12,S,50.49
132,132,-30,4/19/12,S,
133,133,-30,4/19/12,S,57.25
134,134,-30,4/19/12,S,46.67
135,135,-30,4/19/12,S,
136,136,-30,4/19/12,S,57.14
137,137,-30,4/19/12,S,
138,138,-30,4/19/12,S,43.45
139,139,-30,4/19/12,S,
140,140,-30,4/19/12,S,49.75
141,141,-30,4/19/12,S,37.46
